date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:25	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Aug%202019%2013:39:15%20GMT	https://web.archive.org/robots.txt		(from )
19:12:26	57161/57161	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Aug%202019%2013:39:18%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/index.html	(from )
19:12:27	12615/12615	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cca139e-3147%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/Users/Windows/Desktop/Papers/icraect/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:27	18571/18571	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1565766599-18571-1492060197%22	https://web.archive.org/_static/js/ait-client-rewrite.js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/js/ait-client-rewrite.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:27	1299/1299	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1565766483-1299-298976124%22	https://web.archive.org/_static/js/wbhack.js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/js/wbhack.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:28	7050/7050	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1565766592-7050-1017513663%22	https://web.archive.org/_static/css/banner-styles.css	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/css/banner-styles.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:28	5825/5825	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1565766603-5825-715654559%22	https://web.archive.org/_static/css/iconochive.css	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/css/iconochive.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:21%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/feed/	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/feed/index.html	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:21%20GMT	https://web.archive.org/web/20180722135401im_/http://icraect.org/wp-content/uploads/2018/01/sjbit-Logo.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401im_/http_/icraect.org/wp-content/uploads/2018/01/sjbit-Logo.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:30	70291/70291	---MC-	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2013:39:21%20GMT	https://web.archive.org/web/20180831000952im_/http://icraect.org/wp-content/uploads/2018/01/sjbit-Logo.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831000952im_/http_/icraect.org/wp-content/uploads/2018/01/sjbit-Logo.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
